country,cases,deaths,recovered,active,population,fetchedAt,death_rate,recovery_rate
Ethiopia,501157,7574,488171,5412,120812698,2025-06-24 06:39:10.767,1.5113028452161696,97.40879604594967
Djibouti,15690,189,15427,74,1016097,2025-06-24 06:39:10.767,1.2045889101338432,98.32377310388782
Dominica,16038,74,15964,0,72344,2025-06-24 06:39:10.767,0.46140416510786886,99.53859583489213
DRC,99338,1468,84489,13381,95240792,2025-06-24 06:39:10.767,1.4777829229499284,85.05204453482051
Falkland Islands (Malvinas),1930,0,1930,0,3539,2025-06-24 06:39:10.767,0.0,100.0
Swaziland,75191,1427,73116,648,1184817,2025-06-24 06:39:10.767,1.8978335173092526,97.2403612134431
Suriname,82588,1408,0,81180,596831,2025-06-24 06:39:10.767,1.7048481619605753,0.0
Finland,1516117,11958,1503989,170,5554960,2025-06-24 06:39:10.767,0.7887254083952624,99.20006173666016
Burkina Faso,22114,400,21596,118,22102838,2025-06-24 06:39:10.767,1.8088088993397848,97.65759247535499
Bahrain,729549,1574,727915,60,1783983,2025-06-24 06:39:10.767,0.2157497303128371,99.7760260105901
Antigua and Barbuda,9106,146,8954,6,99509,2025-06-24 06:39:10.767,1.6033384581594552,98.33077092027234
Algeria,272010,6881,183061,82068,45350148,2025-06-24 06:39:10.767,2.5296864085879194,67.2993639939708
Afghanistan,234174,7996,211080,15098,40754388,2025-06-24 06:39:10.767,3.414554989025255,90.13810243664967
